id,title,image_url,actual_price,brand,category_id,description,rating,selling_price,created_at
1,"Baby Fabric Shoes",/images/products/shoe-1.jpg,11,"Allen Solly",2,"Elevate your style with this classy pair of Running shoe from the house of BLACKTOWN brand. Featuring a Contemporary refined design with exceptional comfort, this pair is perfect to give your Quintessential dressing an Upgrade. Sole: Rubber Closure: Pull On Fit Type: Regular Shoe Width: Medium Sole : Eva, Upper Material-Mesh Fabric Upper Lifestyle: Sports Shoes, Running Shoes , Casual Shoes Warranty Type: Manufacturer Care Instructions: Rotate Your Pair Of Shoes Once Every Other Day, Allowing Th",2.5,9,"2023-08-16 09:28:18.849238"
2,"Relaxed Short Full Sleves",/images/products/clothes-1.jpg,45,UNIQLO,1,"The Uniqlo U collection is the realization of a dedicated and skilled team of international designers based at our Paris Research and Development Center led by Artistic Director Christophe Lemaire.  - Dry touch, heavyweight 100% cotton jersey fabric. - The compactly-woven dry touch jersey fabric is durable and gains character with every wash. - Binding at the collar helps retain the neckline shape. - Unisex relaxed cut. NET QUANTITY 1 N. Product ID 461556 Please note that this product may have d",4,12,"2023-08-16 09:39:34.807763"
3,"Silver Deer Heart Neclace",/images/products/jewellery-2.jpg,84,ABC,3,"Gold-toned layered necklace Material and stone type: brass with crystals Plating: gold-plated Closure: lobster closure Warranty: 3 months Warranty provided by brand/manufacturer  Size & Fit Length: 49 cm with Adjustable  Material & Care Material: Brass Plating: Gold-plated Stone type: Crystals   Care Instructions: Wipe your jewellery with a soft cloth after every use Always store your jewellery in a flat box to avoid accidental scratches Keep sprays and perfumes away from your jewellery Do not s",5,30,"2023-08-16 09:52:11.745140"
4,"Girls T-shirt",/images/products/3.jpg,5,AiC,1,"Allensolly an initiative of Madura Fashion & Lifestyle, a division of Aditya Birla Fashion and Lifestyle is India’s largest and fastest growing branded apparel companies and a premium lifestyle player in the retail sector. After consolidating its market leadership with its own brands, it introduced premier international labels, enabling Indian consumers to buy the most prestigious global fashionwear and accessories within the country.",3,3,"2023-08-16 20:08:58.513615"
5,"Blue & White Ethnic Motifs Printed Cotton Maxi Dre",https://loremflickr.com/320/240,0,Libas,8,"Blue and White printed women maxi dress with lace tasselled detail, has a round neck, three quarter sleeves, and flared hem.",0,0,"2023-08-18 13:11:46.783289"
6,"Embellished Block Heels",https://loremflickr.com/320/240,0,Brauch,2,"A pair for white and silver toned embellished block heels, has regular ankle and open back Synthetic upper Cushioned footbed Textured and patterned outsole Warranty: 1 month",0,0,"2023-08-18 13:13:17.170365"
7,"Gold-Plated Classic Chandbalis Earrings",https://loremflickr.com/320/240,0,Rubans,9,"Gold-toned classic chandbalis, gold-plated, has american diamond. Secured with a post and black closure",0,0,"2023-08-18 13:14:38.816250"
8,"Women White Slim Fit Formal Shirt",https://loremflickr.com/320/240,0,Selvia,1,"White solid opaque formal shirt, has a spread collar, button placket, three-quarter regular sleeves, straight them",0,0,"2023-08-18 13:16:51.125794"
9,"Women Black Wide Leg Loose Fit High-Rise Trouser",https://loremflickr.com/320/240,0,Broadstar,10,"Black knitted parallel. Loose fit. Brand Fit: relaxed straight leg. High-rise Length: regular Pattern: solid Flat-front, wtih no pleats design Feature: easy wash 2 pockets",0,0,"2023-08-18 13:18:22.070902"
10,"Women Black & Gold Toned Solid Belt",https://loremflickr.com/320/240,0,Kastner,9,"Look stylist all year with this must-have Kastner black belt. Create a super chic ensemble for your date when you wear this belt with slick black jeans.",0,0,"2023-08-18 13:20:38.980841"
11,"Women Black Solid Formal Shoes",https://loremflickr.com/320/240,0,Krafter,2,"Pack Contains: single watch Display: analogue Movement: quartz Power Source: battery Dial style: silver-toned solid round stainless steel dial Features: reset time, Strap Style: silver toned, bracelet style, metal strap with a foldover closure Water resistant Comes in a signature DressBerry case Warranty: 1 year Warranty provided by brand owner/manufacturer",0,0,"2023-08-18 13:23:47.258947"
12,"Women Silver-Toned Dial & Bracelet Style Straps An",https://loremflickr.com/320/240,0,DressBerry,9,"Pack Contains: single watch Display: analogue Movement: quartz Power Source: battery Dial style: silver-toned solid round stainless steel dial Features: reset time, Strap Style: silver toned, bracelet style, metal strap with a foldover closure Water resistant Comes in a signature DressBerry case Warranty: 1 year Warranty provided by brand owner/manufacturer",0,0,"2023-08-18 13:24:52.472574"
13,"Shoulder Straps Crepe Sheath Mini Dress",https://loremflickr.com/320/240,0,BAESD,1,"Red solid sheath dress Shoulder straps Sleeveless Mini length in straight hem Crepe fabric",0,0,"2023-08-18 13:26:19.981375"
14,"Women Slim Heel Pumps",https://loremflickr.com/320/240,0,MANGO,2,"A pair of black slim heel pumps Has regular ankle and closed back with slip-on closure PU solid upper Cushioned footbed Textured and patterend outsole  Specifications Heel Type Slim Type Pumps Heel Height 3.5 inches Fastening and Back Detail Closed Back Toe Shape Pointed Toe Pattern Solid Ankle Height Regular Occasion Casual",0,0,"2023-08-18 13:28:29.327702"
15,"Ruched Detail Clutch",https://loremflickr.com/320/240,0,"DOROTHY PERKINS",7,"PRODUCT DETAILS  Black ruched detail clutch Has shoulder strap 1 main compartment with button closure Size & Fit Height: 12 cm Width: 24 cm Depth: 4 cm Material & Care 100% Polyurethane Wipe with a clean, dry cloth to remove dust",0,0,"2023-08-18 13:29:05.489153"
16,"Woman 925 Sterling Silver Rose Gold-Toned Cubic Zi",https://loremflickr.com/320/240,0,GIVA,9,"Rose gold-toned cubic zirconia studded deer charm bracelet, rose gold-plated Secured with lobster closure WARRANTY: We offer a warranty* that covers the replacement of your GIVA Jewellery for 6 months from the date of purchase. Providing the original invoice is mandatory. Size & Fit Bracelet length: 6.8" + 1.5" Adjustable Material & Care Sterling Silver Wipe your jewellery with a soft cloth after every use Always store your jewellery in a flat box to avoid accidental scratches Keep sprays and pe",0,0,"2023-08-18 13:31:27.345152"
17,"Women Gold-Toned Choker Necklace",https://loremflickr.com/320/240,0,Ferosh,9,"Gold-toned choker necklace Material and stone type: alloy Closure: lobster closure Size & Fit Length:25cm Specifications Base Metal Alloy Closure Lobster Closure Design Minimal Occasion Western Sustainable Regular Trends Choker Type Necklace",0,0,"2023-08-18 13:31:55.599286"
18,"Red Cut Outs Bodycon Ruched Mini Dress",https://loremflickr.com/320/240,0,BoStreet,1,"PRODUCT DETAILS  Red colour solid bodycon ruched dress Shoulder straps neck Sleeveless Cut outs detail Mini length in straight hem",0,0,"2023-08-18 13:33:25.812898"
19,"Silver-Plated & White Choker Necklace",https://loremflickr.com/320/240,0,"Joker & Witch",9,"Silver-Toned and white choker necklace Material and stone type: Alloy with Pearls Plating: Silver-Plated Closure: Lobster Closure Size & Fit Length: 22 cm Material & Care Material: Alloy Stone Type: Pearls Plating: Silver-Plated",0,0,"2023-08-18 13:34:16.189555"
20,"Strappy Block Heel Gladiators",https://loremflickr.com/320/240,0,HEELSNFEELS,2,"A pair of white strappy block heel gladiators ,has high-top ankle and lace-ups Synthetic upper  Cushioned footbed Textured and patterned outsole Size & Fit Heel height: 7.62 cm Material & Care Synthetic Wipe with a clean and dry cloth to remove dust Specifications Heel Type Block Type Gladiators Heel Height 3 inches Fastening and Back Detail Lace-Ups Toe Shape Open Toe Pattern Solid Ankle Height High-Top Occasion Casual",0,0,"2023-08-18 13:34:56.498214"
21,"Gold-Toned Gold-Plated Wraparound Bracelet",https://loremflickr.com/320/240,0,PALMONAS,9,"Gold-toned wraparound bracelet Material and stone type: stainless steel Plating: gold-plated Closure: slip-on Warranty: 1 year Warranty provided by brand owner/manufacturer Size & Fit Length: 19.4CM Material & Care Material: Stainless Steel Plating: Rose Gold-Plated  CARE INSTRUCTIONS Wipe your jewellery with a soft cloth after every use Always store your jewellery in a flat box to avoid accidental scratches Do not soak your jewellery in water Clean your jewellery using a soft brush, dipped in j",0,0,"2023-08-18 13:35:38.523534"
22,"Women Black Lens Rectangle Sunglasses with UV Prot",https://loremflickr.com/320/240,0,Voyage,6,"Lens Colour: black Frame Colour: silver-toned Style: full rim Type: rectangle sunglasses Frame Material: metal Features: uv protected lens Best suited for oval face Comes in a Voyage hard case Size & Fit Lens width: 52 mm Material & Care Metal Remove dust and grime by gently wiping the lens with a cloth Specifications Type Rectangle Sunglasses Lens Colour Black Feature UV Protected Lens Style Full Rim Frame Colour Silver-Toned Face Shape Oval Case Hard Case",0,0,"2023-08-18 13:36:20.913154"
23,"Women Multicoloured Tie and Dye Dyed Loose T-shirt",https://loremflickr.com/320/240,0,"Difference of Opinion",1,"PRODUCT DETAILS  Multicoloured Tshirt for women Tie and dye dyed Longline length Round neck Short, regular sleeves Knitted cotton fabric Size & Fit Loose The model (height 5'8) is wearing a size S Material & Care Cotton Machine wash Specifications Fabric Cotton Fit Oversized Length Longline Main Trend Tie and Dye Multipack Set Single Neck Round Neck Number of Items 1 Occasion Casual",0,0,"2023-08-18 13:38:22.610869"
24,"Women Blue Mid-Rise Slim Fit Washed & Distressed D",https://loremflickr.com/320/240,0,BoStreet,10,"PRODUCT DETAILS  Blue washed Distressed mid-rise denim shorts, has 2 pockets, button closure Size & Fit Slim Fit The model (height 5'8) is wearing a size 28 Material & Care 85% Cotton 15% Polyester Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Denim Shorts Closure Button Print or Pattern Type Washed Fit Slim Fit Number of Pockets 2 Occasion Casual",0,0,"2023-08-18 13:39:06.237381"
25,"Women White Textured PU Slip-On Sneaker",https://loremflickr.com/320/240,0,"Tokyo Talkies",2,"PRODUCT DETAILS  A pair of pointed toe white slip-on sneakers ,has regular styling, Slip-on detail Pu upper Cushioned footbed Textured and patterned outsole Warranty: 15 days Material & Care Synthetic Wipe with a clean, dry cloth to remove dust Specifications Type Slip-On Sneakers Toe Shape Pointed Toe Pattern Textured Fastening Slip-On Shoe Width Wide Ankle Height Regular Insole EVA or Rubber Sole Material PVC",0,0,"2023-08-18 13:39:41.810324"
26,"Women Navy Blue & Off-White Woven Design Shoulder",https://loremflickr.com/320/240,0,Anouk,7,"PRODUCT DETAILS  Navy Blue and off-white woven design shoulder bag with tasselled detail, has a zip closure 1 main compartment, 3 inner pockets Tablet sleeve: No Two Handles Warranty: 3 months Warranty provided by brand/manufacturer Size & Fit Height: 35 cm Width: 47 cm Depth: 14 cm Material & Care Canvas Wipe with a clean, dry cloth to remove dust Specifications Type Shoulder Bag Size Regular Compartment Closure Zip Print or Pattern Type Geometric Surface Styling Tasselled Handles Two Handles",0,0,"2023-08-18 13:40:37.705441"
27,"Embroidered Zari Semi-Stitched Lehenga & Unstitched",https://loremflickr.com/320/240,0,FABPIXEL,8,"PRODUCT DETAILS  Red and gold-toned embroidered lehenga choli with dupatta, zari Red and gold-toned embroidered unstitched blouse, has a v-neck, short sleeves, red and gold-toned embroidered semi-stitched lehenga, flared hem Red and gold-toned embellished dupatta, taping border Size & Fit The model (height 5'8) is wearing a size S Dupatta Length: 2.30 mtr Material & Care Lehenga Fabric:Art Silk Blouse Fabric:Art Silk Dupatta :Net Lining Fabric:Shantoon Dry Clean Specifications Lehenga Fabric A",0,0,"2023-08-18 13:44:43.512020"
28,"Set of 2 Rose Gold Plated Zirconia Stone Studded Bangles",https://loremflickr.com/320/240,0,Rubans,9,"PRODUCT DETAILS  Set of 2 Rose Gold Plated Zirconia Stone Studded Bangles Size & Fit Size: 2.4 cm Material & Care Brass wipe with a clean dry cloth Specifications Occasion Ethnic Base Metal Brass Stone Type American Diamond Multipack Set 2 Plating Rose Gold-Plated",0,0,"2023-08-18 13:45:27.111414"
29,"Gold-Plated Statement Necklace",https://loremflickr.com/320/240,0,SOHI,3,"PRODUCT DETAILS  Gold-toned and white necklace Material and stone type: alloy with artificial stones Plating: gold-plated Closure: lobster closure Size & Fit Length: 40cm, Width: 2cm Material & Care Material: Alloy Plating: Gold-Plated Stone Type: Artificial stones  Care Instructions: Wipe your jewellery with a soft cloth after every use Always store your jewellery in a flat box to avoid accidental scratches Clean your jewellery using a soft brush, dipped in jewellery cleaning solution only",0,0,"2023-08-18 13:47:06.633426"
30,"Silver-plated American Diamond Studded Teardrop Shaped Drop Earrings",https://loremflickr.com/320/240,0,"RATNAVALI JEWELS",3,"PRODUCT DETAILS  Silver-toned teardrop shaped drop earrings, silver-plated, has american diamond Secured with a post and back closure Warranty: 1 month Warranty provided by brand owner/manufacturer Size & Fit Length: 1.6 inch , Width: 0.8 inch Material & Care Material: Brass Plating: Silver-plated Stone type: American diamond  Care Instructions: Wipe your jewellery with a soft cloth after every use Always store your jewellery in a flat box to avoid accidental scratches Keep sprays and perfumes away from your jewellery Do not soak your jewellery in water Clean your jewellery using a soft brush, dipped in jewellery cleaning solution only Specifications Shape Teardrop Shaped Type Drop Earrings Base Metal Brass Stone Type American Diamond Plating Silver-Plated Closure Post and Back Occasion Western Multipack Set Single",0,0,"2023-08-18 13:47:54.602894"
31,"Women Pink & Transparent Solid Sandals",https://loremflickr.com/320/240,0,Vishudh,1,"PRODUCT DETAILS  Silver-toned teardrop shaped drop earrings, silver-plated, has american diamond Secured with a post and back closure Warranty: 1 month Warranty provided by brand owner/manufacturer Size & Fit Length: 1.6 inch , Width: 0.8 inch Material & Care Material: Brass Plating: Silver-plated Stone type: American diamond  Care Instructions: Wipe your jewellery with a soft cloth after every use Always store your jewellery in a flat box to avoid accidental scratches Keep sprays and perfumes away from your jewellery Do not soak your jewellery in water Clean your jewellery using a soft brush, dipped in jewellery cleaning solution only Specifications Shape Teardrop Shaped Type Drop Earrings Base Metal Brass Stone Type American Diamond Plating Silver-Plated Closure Post and Back Occasion Western Multipack Set Single",0,0,"2023-08-18 13:49:57.484376"
32,"Women UV Protected Cateye Sunglasses",https://loremflickr.com/320/240,0,Voyage,6,"PRODUCT DETAILS  Lens colour: Purple Lens feature: UV Protected Lens Frame material: Plastic Frame style: Full Rim Best suited for: Oval face shape Comes in a Voyage cover Material & Care Plastic Remove dust and grime by gently wiping the lens with a cloth Specifications Type Cateye Sunglasses Lens Colour Purple Feature UV Protected Lens Style Full Rim Frame Colour Black Face Shape Oval Case Hard Case Complete The Look Opt for these cute cat-eye sunglasses from Voyage when you need a fun accessory for your wardrobe. This purple pair can be teamed with denim shorts and a modern top when you're going to the beach with your friends.",0,0,"2023-08-18 13:50:40.078029"
33,"Rose Gold & White Textured Purse Clutch",https://loremflickr.com/320/240,0,Peora,7,"PRODUCT DETAILS  Rose gold and white textured purse clutches Has shoulder strap 1 main compartment with button closure Size & Fit Height: Width: Depth: Material & Care Material is Fabric Wipe with a clean, dry cloth to remove dust Specifications Material Fabric Strap Shoulder Strap Occasion Party Type Purse Compartment Closure Button Pattern Textured Number of Main Compartments 1 Water Resistance No",0,0,"2023-08-18 13:51:37.221684"
34,"Women Blue Printed Straight Kurta with Trousers",https://loremflickr.com/320/240,0,KALINI,1,"Kurta design: Striped printed Straight shape Regular style Keyhole neck, three-quarter regular sleeves Calf length with straight hem Cotton blend machine weave fabric   Trousers design: Printed Trousers Partially Elasticated waistband Slip-on closure Size & Fit The model (height 5'8) is wearing a size S Material & Care Kurta Fabric: Cotton Blend Dry Clean Only",0,0,"2023-08-18 13:57:21.561141"
35,"Lightweight & Ultra Comfortable Wedge Heels",https://loremflickr.com/320/240,0,Paragon,2,"PRODUCT DETAILS  A pair of navy blue sandals, has regular ankle and open back Synthetic solid upper with other Cushioned footbed Textured and patterend outsole, has a comfort heel Warranty: 1 month Warranty provided by brand owner/manufacturer Size & Fit Heel height: 2.54 cm (1 inch) Material & Care Synthetic Wipe with a clean, dry cloth to remove dust Specifications Heel Type Comfort Type Sandals Heel Height 1 inch Fastening and Back Detail Open Back Toe Shape Open Toe Pattern Solid Ankle Height Regular Occasion Ethnic ‘",0,0,"2023-08-18 14:11:33.442241"
36,"Set Of 2 Gold-Plated AD-Studded Bangles",https://loremflickr.com/320/240,0,"The Pari",5,"PRODUCT DETAILS  Set of 2 gold-plated bangles, has white AD-studded, has textured detailing Size & Fit Diameter: 6.09 cm each Material & Care Material: Alloy Plated: Gold-Plated Stone type: AD  Care Instructions Wipe your jewellery with a soft cloth after every use Always store your jewellery in a flat box to avoid accidental scratches Keep sprays and perfumes away from your jewellery Do not soak your jewellery in water Clean your jewellery using a soft brush, dipped in jewellery cleaning solution only Specifications Occasion Ethnic Base Metal Alloy Stone Type American Diamond Multipack Set 2 Plating Gold-Plated",0,0,"2023-08-18 14:12:52.636061"
37,"Men Maroon Striped Straight Kurta",https://loremflickr.com/320/240,0,"House of Pataudi",1,"RODUCT DETAILS  Maroon striped straight kurta, has a mandarin collar, long sleeves, straight hem, side slits Size & Fit The model (height 6') is wearing a size M Material & Care 100% cotton Machine-wash Specifications Sleeve Length Long Sleeves Shape Straight Neck Mandarin Collar Print or Pattern Type Striped Design Styling Regular Slit Detail Side Slits Length Knee Length Hemline Straight",0,0,"2023-08-18 14:18:56.885554"
38,"Men Textured Padded Insole Mojaris With Laser Cuts",https://loremflickr.com/320/240,0,VIV,2,"PRODUCT DETAILS  A pair of round toe tan brown mojaris ,has regular styling, Slip-on detail Synthetic leather upper Cushioned footbed Textured and patterned outsole Material & Care  Synthetic Leather Wipe with a clean, dry cloth to remove dust Specifications Type Mojaris Toe Shape Round Toe Pattern Textured Fastening Slip-On Shoe Width Wide Ornamentation Laser Cuts Ankle Height Regular Insole Padded",0,0,"2023-08-18 14:20:12.561033"
39,"Men Blue Analogue Watch AX2501I",https://loremflickr.com/320/240,0,"Armani Exchange",9,"PRODUCT DETAILS  Case style: Analogue watch, has a round stainless steel case Dial style: Black textured dial Features: A screw to reset the time, a date, day and hour display Strap style: Black bracelet-style strap Water-resistant Comes with a black and steel-toned bracelet International warranty: 2 years from the date of purchase against manufacturing defects only Warranty provided by Brand Owner / Manufacturer Disclaimer - The Watch Cases might differ from the image shown. Specifications Display Analogue Features Chronograph Movement Mechanical Power Source Battery Dial Shape Round Make Non-Swiss Made Dial Pattern Textured Strap Closure Tang",0,0,"2023-08-18 14:20:35.653380"
40,"Men Solid Slim Fit Spread Collar Formal Shirt",https://loremflickr.com/320/240,0,"Louis Philippe",1,"PRODUCT DETAILS  White solid opaque formal shirt, has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem  Size & Fit Slim Fit Size worn by the model: 40 Chest: 40" Height: 6'2"  Material & Care 97% Cotton & 3% Spandex Machine Wash  Specifications Sleeve Length Long Sleeves Collar Spread Collar Fit Slim Fit Print or Pattern Type Solid Occasion Formal Length Regular Hemline Curved Placket Button Placket Placket Length Full Number of Pockets 1 Pocket Type Patch Cuff Button Transparency Opaque Weave Pattern Regular Surface Styling Chest Pocket Main Trend New Basics",0,0,"2023-08-18 15:31:31.941131"
41,"Men Textured Slim Fit Formal Trousers",https://loremflickr.com/320/240,0,Raymond,10,"PRODUCT DETAILS  Grey woven formal trousers Slim fit Mid-rise Length: regular Pattern: textured self design Flat-front, with no pleats design Feature: plain 4 pockets  Size & Fit Slim Fit Size worn by the model: 82 Waist: 31" Hips: 36" Height: 6'  Material & Care 78% polyester, 22% viscose Dry clean  Specifications Waist Rise Mid-Rise Length Regular Fit Slim Fit Print or Pattern Type Textured Closure Hook and Bar Type of Pleat Flat-Front Weave Type Woven Fly Type Zip",0,0,"2023-08-18 15:32:15.487196"
42,"Men Black Solid Leather Formal Derbys",https://loremflickr.com/320/240,0,"Louis Philippe",2,"PRODUCT DETAILS  A pair of black square-toe solid Derbys with perforated detail, has regular styling, lace-up detail Leather upper Cushioned footbed Textured and patterned rubber outsole, has a stacked heel Warranty: 6 months Warranty provided by the brand owner /manufacturer Comes with a shoe horn  Material & Care Leather Use a branded leather conditioner to clean the product Avoid washing  Specifications Type Derbys Fastening Lace-Ups Toe Shape Square Toe Pattern Solid Ankle Height Regular Sole Material Rubber Warranty 6 months",0,0,"2023-08-18 15:32:58.174335"
43,"Men Black Analogue Watch",https://loremflickr.com/320/240,0,Titan,9,"PRODUCT DETAILS  Display: Analogue Movement: Quartz Power source: Battery Dial style: Solid round brass dial Features: Reset Time Strap style: Black regular, metal strap with a foldover closure Water resistance: 50 m Warranty: 2 years Warranty provided by brand/manufacturer  Size & Fit Dial width: Strap Width  Specifications Display Analogue Features Reset Time Movement Quartz Power Source Battery Type Regular Dial Shape Rectangular Make Non-Swiss Made Dial Pattern Textured Dial Colour Black Strap Closure Foldover Strap Colour Black Strap Style Bracelet Style Scratch Resistance No Multipack Set Single Occasion Formal Water Resistance 50 m Warranty 2 years Strap Material Metal",0,0,"2023-08-18 15:34:02.961153"
44,"Men Black Solid Satin Tie",https://loremflickr.com/320/240,0,H&M,9,"PRODUCT DETAILS  CONSCIOUS. Satin tie. The polyester content of the tie is partly recycled.  Size & Fit Width: 6.5 cm  Material & Care 100% Polyester Machine-wash  Specifications Fabric Polyester Pattern Solid Wash Care Machine Wash Type Broad Tie",0,0,"2023-08-18 15:35:02.828737"
45,"Men Brown Textured Genuine Leather Belt",https://loremflickr.com/320/240,0,"Tommy Hilfiger",9,"PRODUCT DETAILS  Brown textured belt Reversible: No Stretchable: No Secured with a push pin closure Warranty: 6 months Warranty provided by Brand Owner / Manufacturer  Size & Fit Width: 3.5 cm  Material & Care Genuine leather Wipe with a clean, dry cloth to remove dust  Specifications Material Leather Reversible No Occasion Casual Closure Push Pin Pattern Textured Multipack Set Single Belt Width Wide Stretchable No Warranty 6 months",0,0,"2023-08-18 15:35:57.557653"
46,"Men Black Slim Fit Formal Shirt",https://loremflickr.com/320/240,0,"English Navy",1,"PRODUCT DETAILS  Black solid formal shirt, has a spread collar, long sleeves, button placket, and straight hem  Size & Fit Slim fit The model (height 6') is wearing a size 40  Material & Care Material: Polyester Machine Wash  Specifications Sleeve Length Long Sleeves Collar Spread Collar Fit Slim Fit Print or Pattern Type Solid Occasion Formal Length Regular Hemline Straight Placket Button Placket",0,0,"2023-08-18 15:39:01.289982"
47,"Men Checked Slim Fit Formal Trousers",https://loremflickr.com/320/240,0,"Louis Philippe",10,"PRODUCT DETAILS  Navy blue woven formal trousers Slim fit Mid-rise Length: Regular Pattern: Checked Flat-front, with no pleats design Feature: Plain 4 pockets  Size & Fit Slim Fit Size worn by the model: 32 Waist: 30" Hips: 37" Height: 6'1"  Material & Care 64% Polyester, 34% Viscose & 2% Spandex Machine Wash  Specifications Waist Rise Mid-Rise Length Regular Fit Slim Fit Print or Pattern Type Checked Closure Button Type of Pleat Flat-Front Weave Type Woven Fly Type Zip",0,0,"2023-08-18 15:39:50.092139"
48,"Men Black MINLAN Solid Leather Formal Derbys",https://loremflickr.com/320/240,0,Arrow,2,"PRODUCT DETAILS  A pair of black solid with perforated detail round-toed formal derbys, has regular styling, a lace-up closure Leather upper, has a stacked heel Cushioned footbed Textured and patterned TPR outsole Warranty: 3 months Warranty provided by the brand/manufacturer  Material & Care Leather Use a branded leather conditioner to clean the product  Specifications Type Derbys Fastening Lace-Ups Toe Shape Round Toe Pattern Solid Ankle Height Regular Sole Material TPR Warranty 3 months",0,0,"2023-08-18 15:40:32.234493"
49,"Men Black Leather Reversible Belt",https://loremflickr.com/320/240,0,"Allen Solly",9,"PRODUCT DETAILS  Black solid leather reversible belts Secured with a tang closure Warranty: 6 months  Size & Fit Width: 3.5 cm  Material & Care Leather Wipe with a clean, dry cloth when needed  Specifications Material Leather Reversible Yes Occasion Casual Closure Tang Pattern Solid Multipack Set Single Stretchable No Warranty 6 months",0,0,"2023-08-18 15:41:16.061285"
50,"Solid Knitted Polo Collar T-shirt",https://loremflickr.com/320/240,0,"Louis Philippe Sport",1,"PRODUCT DETAILS  Burgundy Tshirt for men Solid  Regular length Polo collar Short, regular sleeves Knitted cotton fabric Button closure  Size & Fit Regular Fit The model (height 6') is wearing a size M  Material & Care 60% Cotton, 40% Polyester Machine wash  Specifications Closure Button Fabric Cotton Fabric 2 Polyester Fit Regular Fit Length Regular Main Trend New Basics Multipack Set Single Neck Polo Collar",0,0,"2023-08-18 15:42:50.492251"
51,"Men 511 Slim Fit Low-Rise Heavy Fade Stretchable Jeans",https://loremflickr.com/320/240,0,Levis,10,"PRODUCT DETAILS  Medium shade, heavy fade blue jeans Slim fit, low-rise Clean look Stretchable 5 pocket Length: Regular  Size & Fit Fit: 511 Slim Fit Stretchable The model (height 6') is wearing a size 32  Material & Care 98% Cotton & 2% Elastane Machine Wash  Specifications Distress Clean Look Waist Rise Low-Rise Fade Heavy Fade Shade Medium Fit Slim Fit Length Regular Waistband With belt loops Stretch Stretchable Closure Button and Zip Reversible No Effects Whiskers and Chevrons Number of Pockets 5 Occasion Casual",0,0,"2023-08-18 15:43:36.324303"
52,"Men White Clarkin Sneakers",https://loremflickr.com/320/240,0,"U.S. Polo Assn.",2,"PRODUCT DETAILS  A pair of round-toe white sneakers, has regular styling, lace-up detail Canvas upper Cushioned footbed Textured and patterned outsole Warranty: 3 months Warranty provided by brand/manufacturer  Material & Care Canvas Wipe with a clean, dry cloth to remove dust  Specifications Type Sneakers Toe Shape Round Toe Pattern Solid Fastening Lace-Ups Shoe Width Regular Ankle Height Regular Insole Comfort Insole Sole Material Rubber Micro Trend Basics Warranty 3 months Occasion Everyday",0,0,"2023-08-18 15:45:00.098482"
53,"Unisex Grey Lens & Black Round Sunglasses with Polarised Lens",https://loremflickr.com/320/240,0,"Vincent Chase",6,"PRODUCT DETAILS  Lens Colour: grey Frame Colour: black Style: full rim Type: round sunglasses Frame Material: metal Best suited for round face Comes in a Vincent Chase hard case Warranty: 1 year Warranty provided by brand owner/manufacturer  Size & Fit FRAME SIZE:- Medium | Frame width: 140 mm | Frame Height: 47 mm | Frame Dimensions: (51-20-145)mm   Material & Care Use soft cloth & case provided with every frames to remove dust & fingerprints from lens and protect them from scratches & damages   Specifications Type Round Sunglasses Lens Colour Grey Feature Polarised Lens Style Full Rim Frame Colour Black Face Shape Round Case Hard Case Warranty 1 year Complete The Look FRAME PATTERN:- Featuring Black Full Rim Rectangle made from Stainless Steel which is lightweight and offers high strength making it the ideal choice for both men & women.",0,0,"2023-08-18 15:45:52.121824"
54,"Men Navy Blue Solid Slim-Fit 3 Piece Suit",https://loremflickr.com/320/240,0,"Peter England Elite",1,"PRODUCT DETAILS  Navy blue solid solid slim-fit 3-piece formal suit Navy blue solid formal blazer, has a notched lapel collar, long sleeves, single-breasted with button closure, 1 chest welt pocket and 2 flap pockets at the front, has an attached lining, and a double-vented back hem Navy blue solid tailored-fit formal waistcoat, has a deep v-neck with button closure, sleeveless, 2 welt pockets Navy blue solid slim fit mid-rise trousers, has a belt loops waistband with button and zip fly closure, and 4 pockets   Size & Fit Slim Fit The model (height 6') is wearing a size 36   Material & Care 84% Polyester & 16% Viscose Dry Clean   Specifications Pattern Solid Fabric Polyester Collar Notched Lapel Occasion Formal Fit Slim Fit Sleeve Length Long Sleeves Bottom Closure Zip Front Styling Single-Breasted Type Blazer and Waistcoat with Trousers",0,0,"2023-08-18 15:47:39.558312"
55,"Blue Lens & Gold-Toned Oversized Sunglasses with UV Protected Lens",https://loremflickr.com/320/240,0,Ray-Ban,6,"PRODUCT DETAILS  Lens Colour: blue Frame Colour: gold-toned Style: full rim Type: oversized sunglasses Frame Material: metal Features: uv protected lens Best suited for heart face Comes in a Ray-Ban soft pouch Warranty: 2 years Warranty provided by brand owner/manufacturer  Size & Fit Width: 51 mm  Material & Care Metal Wipe with a clean cloth  Specifications Type Oversized Sunglasses Lens Colour Blue Feature UV Protected Lens Style Full Rim Frame Colour Gold-Toned Face Shape Heart Case Soft Pouch Warranty 2 years",0,0,"2023-08-18 15:48:39.256806"
NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
